sample_id,image_path,generated_text,is_complaint,problem_type,defect_type,severity,mask_path,split,generator_version,seed
good_000_145532cf,data/raw/mvtec/bottle/bottle/train/good/000.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,2433306362
good_001_d52520ee,data/raw/mvtec/bottle/bottle/train/good/001.png,كل شيء تمام لا يوجد مشاكل 👌👌,False,Other,good,Low,,train,v1.0.0,2007681144
good_002_c6761b6f,data/raw/mvtec/bottle/bottle/train/good/002.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,199299981
good_003_35101dab,data/raw/mvtec/bottle/bottle/train/good/003.png,"Everything is fine, no issuessss 😊",False,Other,good,Low,,train,v1.0.0,2235316455
good_004_763336a0,data/raw/mvtec/bottle/bottle/train/good/004.png,كل شيء تممممام، لا يوجد مشاكل 💯😊,False,Other,good,Low,,train,v1.0.0,1335605084
good_005_bf598f21,data/raw/mvtec/bottle/bottle/train/good/005.png,المنتج وصل بحالة ممتازة، شكراًً ✨💯,False,Other,good,Low,,train,v1.0.0,368432349
good_006_74f9e27f,data/raw/mvtec/bottle/bottle/train/good/006.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,3855130628
good_007_0ebf93c0,data/raw/mvtec/bottle/bottle/train/good/007.png,"Prroduct arrived in excellennt condition, thannnk you",False,Other,good,Low,,train,v1.0.0,2738287147
good_008_2c7b2684,data/raw/mvtec/bottle/bottle/train/good/008.png,المنتج ووووصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,2407036501
good_009_59a488d9,data/raw/mvtec/bottle/bottle/train/good/009.png,"Prrrroduct arrived in excellent condition, thank you ❤️",False,Other,good,Low,,train,v1.0.0,3423449612
good_010_c92893e8,data/raw/mvtec/bottle/bottle/train/good/010.png,Product matches description and is in perfect condition 😊✨,False,Other,good,Low,,train,v1.0.0,3044478156
good_011_26836193,data/raw/mvtec/bottle/bottle/train/good/011.png,المنتج ووصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,3434695829
good_012_df4e12aa,data/raw/mvtec/bottle/bottle/train/good/012.png,Bottle is intact and qualty is good,False,Other,good,Low,,train,v1.0.0,1143960498
good_013_3a2733fc,data/raw/mvtec/bottle/bottle/train/good/013.png,"Everything is fine, no issuees",False,Other,good,Low,,train,v1.0.0,218569037
good_014_ff98a88b,data/raw/mvtec/bottle/bottle/train/good/014.png,Bottle is intact and quaaaality is good,False,Other,good,Low,,train,v1.0.0,866450291
good_015_c2332021,data/raw/mvtec/bottle/bottle/train/good/015.png,الزجاجة سليمة وجودتها جيدة 😊,False,Other,good,Low,,train,v1.0.0,4169288390
good_016_4e7d7bb5,data/raw/mvtec/bottle/bottle/train/good/016.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,2257696800
good_017_39d76978,data/raw/mvtec/bottle/bottle/train/good/017.png,booootle is intact aand quality is good,False,Other,good,Low,,train,v1.0.0,2185795061
good_018_8c031bd4,data/raw/mvtec/bottle/bottle/train/good/018.png,"prduct arrived in excellent coondition, thank you",False,Other,good,Low,,train,v1.0.0,4244571146
good_019_70193423,data/raw/mvtec/bottle/bottle/train/good/019.png,Product matttches description annnd is in perfect condition 😊😊,False,Other,good,Low,,train,v1.0.0,2067514567
good_020_a651de5c,data/raw/mvtec/bottle/bottle/train/good/020.png,المنتج وصل بحالة ممتازة شكراً,False,Other,good,Low,,train,v1.0.0,1202429927
good_021_07702ff3,data/raw/mvtec/bottle/bottle/train/good/021.png,المنتج وصل بحالة ممتازةةةة، شكراً 👌,False,Other,good,Low,,train,v1.0.0,1181533216
good_022_e8bd2380,data/raw/mvtec/bottle/bottle/train/good/022.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,3248665389
good_023_83cd8e82,data/raw/mvtec/bottle/bottle/train/good/023.png,Bottle is intact and qualty is good,False,Other,good,Low,,train,v1.0.0,2817384453
good_024_737ff91e,data/raw/mvtec/bottle/bottle/train/good/024.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,3764107257
good_025_9eabffaa,data/raw/mvtec/bottle/bottle/train/good/025.png,المنتج وصل بحاله مممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,1739654674
good_026_4da4ad52,data/raw/mvtec/bottle/bottle/train/good/026.png,Bottle is intact aand quality is good,False,Other,good,Low,,train,v1.0.0,3883957486
good_027_d39d416d,data/raw/mvtec/bottle/bottle/train/good/027.png,Product arrived in excellent condition thank you,False,Other,good,Low,,train,v1.0.0,3144789931
good_028_61da6ee5,data/raw/mvtec/bottle/bottle/train/good/028.png,Bottle is intact and qualty is gooddd,False,Other,good,Low,,train,v1.0.0,976891268
good_029_c5dbb17e,data/raw/mvtec/bottle/bottle/train/good/029.png,كل شيء تمام لا يوجددد مشاكل,False,Other,good,Low,,train,v1.0.0,3516868760
good_030_9f32eea5,data/raw/mvtec/bottle/bottle/train/good/030.png,المنتج وصل بحالة ممتازة، شكراً 💯👌,False,Other,good,Low,,train,v1.0.0,134526633
good_031_6c50188e,data/raw/mvtec/bottle/bottle/train/good/031.png,Bottle is intact and quality is good,False,Other,good,Low,,train,v1.0.0,4096674996
good_032_736cc5df,data/raw/mvtec/bottle/bottle/train/good/032.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,1085119404
good_033_91e180a6,data/raw/mvtec/bottle/bottle/train/good/033.png,"Everything is fine, no issues 💯👍",False,Other,good,Low,,train,v1.0.0,544621338
good_034_4de88670,data/raw/mvtec/bottle/bottle/train/good/034.png,المنتج وصل بحالة ممتازة شكراً 👌,False,Other,good,Low,,train,v1.0.0,844942411
good_035_ab30397c,data/raw/mvtec/bottle/bottle/train/good/035.png,اللللمنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,63239192
good_036_2b7960f2,data/raw/mvtec/bottle/bottle/train/good/036.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,2152050291
good_037_5d2b869d,data/raw/mvtec/bottle/bottle/train/good/037.png,Everything is fine no issues,False,Other,good,Low,,train,v1.0.0,2918008731
good_038_0119ca79,data/raw/mvtec/bottle/bottle/train/good/038.png,"Product arrived in excellent conditiiiion, thank you 👍",False,Other,good,Low,,train,v1.0.0,2465850685
good_039_551b43c4,data/raw/mvtec/bottle/bottle/train/good/039.png,الزجاجة سليمممة وجودتها جييدة,False,Other,good,Low,,train,v1.0.0,1851096184
good_040_2ced7801,data/raw/mvtec/bottle/bottle/train/good/040.png,الزجاجة سليمه وجودتها جىدة,False,Other,good,Low,,train,v1.0.0,3247913272
good_041_3a23d7f6,data/raw/mvtec/bottle/bottle/train/good/041.png,الززززجاجة سليممممة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,1750926296
good_042_af965152,data/raw/mvtec/bottle/bottle/train/good/042.png,كل شيء تمام، لا يوجد مشاكل,False,Other,good,Low,,train,v1.0.0,1888705776
good_043_39a52fe7,data/raw/mvtec/bottle/bottle/train/good/043.png,"Prrroduct arrived in excellenttt condition, thank you",False,Other,good,Low,,train,v1.0.0,3862474752
good_044_3209073e,data/raw/mvtec/bottle/bottle/train/good/044.png,الزجاجه سلىمة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,3005888017
good_045_0f2de76d,data/raw/mvtec/bottle/bottle/train/good/045.png,"Product arrivvvved in excellent condition, thank you",False,Other,good,Low,,train,v1.0.0,2518858653
good_046_4ba02a76,data/raw/mvtec/bottle/bottle/train/good/046.png,كل شىء تمام، لا ىوجد مشاكل,False,Other,good,Low,,train,v1.0.0,3554846070
good_047_95b3aa63,data/raw/mvtec/bottle/bottle/train/good/047.png,الزجاجة سليمه وجودتها جججيدة 💯,False,Other,good,Low,,train,v1.0.0,1829258631
good_048_04e2232c,data/raw/mvtec/bottle/bottle/train/good/048.png,كل شيءء تمام، لا يوجد مشاكل,False,Other,good,Low,,train,v1.0.0,905832802
good_049_94a04134,data/raw/mvtec/bottle/bottle/train/good/049.png,كل شيء تمام، لا يوجد مشاكل ❤️,False,Other,good,Low,,train,v1.0.0,3052186735
good_050_59e76ada,data/raw/mvtec/bottle/bottle/train/good/050.png,الزجاجة سليمة وجودتها جيدددة,False,Other,good,Low,,train,v1.0.0,3539049065
good_051_6e361a9d,data/raw/mvtec/bottle/bottle/train/good/051.png,"Everything is finnne, no issues",False,Other,good,Low,,train,v1.0.0,2922573700
good_052_73baceae,data/raw/mvtec/bottle/bottle/train/good/052.png,كل شىء تمام، لا يوجد مشاككل,False,Other,good,Low,,train,v1.0.0,3255326795
good_053_e661ac80,data/raw/mvtec/bottle/bottle/train/good/053.png,كل شيء تمام، لا يووووجد مشاكل,False,Other,good,Low,,train,v1.0.0,3430109660
good_054_9ef0941f,data/raw/mvtec/bottle/bottle/train/good/054.png,كل شيء تماام، لا يوجد مشاكل 💯,False,Other,good,Low,,train,v1.0.0,2443494275
good_055_3c204ff2,data/raw/mvtec/bottle/bottle/train/good/055.png,كل شيء تمام، لا يوجد مشاكل,False,Other,good,Low,,train,v1.0.0,176504561
good_056_83eab184,data/raw/mvtec/bottle/bottle/train/good/056.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,3343555752
good_057_d94a03bd,data/raw/mvtec/bottle/bottle/train/good/057.png,كل شيء تتتمام، لا يوجد مشاكل,False,Other,good,Low,,train,v1.0.0,1469162490
good_058_51221628,data/raw/mvtec/bottle/bottle/train/good/058.png,المنتج وصل بببحالة ممتازه،،، شكراً,False,Other,good,Low,,train,v1.0.0,3772336008
good_059_4ba9a0a1,data/raw/mvtec/bottle/bottle/train/good/059.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,1049569333
good_060_a16143b4,data/raw/mvtec/bottle/bottle/train/good/060.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,2906648710
good_061_5f818e4e,data/raw/mvtec/bottle/bottle/train/good/061.png,المنتج وصل بحالة ممتازة شكراً,False,Other,good,Low,,train,v1.0.0,3667154193
good_062_4cb7b372,data/raw/mvtec/bottle/bottle/train/good/062.png,"Everything is fine, no issuess",False,Other,good,Low,,train,v1.0.0,1924432895
good_063_5a06d2ab,data/raw/mvtec/bottle/bottle/train/good/063.png,الزجاجة سليمة وووجودتها جيدة,False,Other,good,Low,,train,v1.0.0,4034755042
good_064_4aaa449c,data/raw/mvtec/bottle/bottle/train/good/064.png,المنتج مطابقققق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,3509519696
good_065_ada9cb83,data/raw/mvtec/bottle/bottle/train/good/065.png,Product matches description and is in perfect coooondition,False,Other,good,Low,,train,v1.0.0,4134598909
good_066_05ca16ee,data/raw/mvtec/bottle/bottle/train/good/066.png,المنتج وصل بحالةة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,3945364852
good_067_5925256d,data/raw/mvtec/bottle/bottle/train/good/067.png,المنتج مطابقققق للوصف وبحالة ممتازة ❤️👍,False,Other,good,Low,,train,v1.0.0,1427523763
good_068_c6c620ef,data/raw/mvtec/bottle/bottle/train/good/068.png,Product matches description and is in perrfect condition,False,Other,good,Low,,train,v1.0.0,2682865637
good_069_b0937cfa,data/raw/mvtec/bottle/bottle/train/good/069.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,825151745
good_070_0e04f435,data/raw/mvtec/bottle/bottle/train/good/070.png,Product matches description and is in perfect condition,False,Other,good,Low,,train,v1.0.0,1010616011
good_071_2104648d,data/raw/mvtec/bottle/bottle/train/good/071.png,المنتج مطاابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,2981355956
good_072_41c29be7,data/raw/mvtec/bottle/bottle/train/good/072.png,كل شيء تمام، لا يوجد مشاكل,False,Other,good,Low,,train,v1.0.0,1216674678
good_073_e7b9b531,data/raw/mvtec/bottle/bottle/train/good/073.png,المنتج وصل بحاله ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,4058392119
good_074_37068ef5,data/raw/mvtec/bottle/bottle/train/good/074.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,2068221721
good_075_de26f92f,data/raw/mvtec/bottle/bottle/train/good/075.png,Bottle is intact and quality is good,False,Other,good,Low,,train,v1.0.0,1099663272
good_076_961659ba,data/raw/mvtec/bottle/bottle/train/good/076.png,اااالمنتج مطابق للوصف وبحالة ممتازة ❤️,False,Other,good,Low,,train,v1.0.0,251587436
good_077_dc53a054,data/raw/mvtec/bottle/bottle/train/good/077.png,Bottle is intact and quality is good ❤️👌,False,Other,good,Low,,train,v1.0.0,4235793599
good_078_a2d24f0c,data/raw/mvtec/bottle/bottle/train/good/078.png,Bottle is intact and quality is good,False,Other,good,Low,,train,v1.0.0,3729134556
good_079_c2650653,data/raw/mvtec/bottle/bottle/train/good/079.png,الزجاجة سليمة وجودتها جييدة,False,Other,good,Low,,train,v1.0.0,1748149455
good_080_0f87a4fa,data/raw/mvtec/bottle/bottle/train/good/080.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,1588589699
good_081_b1bfaa25,data/raw/mvtec/bottle/bottle/train/good/081.png,المنتج وصل بحالة ممتازة، شكراً 😊✨,False,Other,good,Low,,train,v1.0.0,1558305384
good_082_701dbd81,data/raw/mvtec/bottle/bottle/train/good/082.png,الزجاجه سليييمة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,893404021
good_083_8f47b256,data/raw/mvtec/bottle/bottle/train/good/083.png,"Product arriveddd in excellent condition, thank you 💯",False,Other,good,Low,,train,v1.0.0,1094695448
good_084_2887d1fc,data/raw/mvtec/bottle/bottle/train/good/084.png,Product matches description and is in perfect condition,False,Other,good,Low,,train,v1.0.0,2529712102
good_085_280a9dca,data/raw/mvtec/bottle/bottle/train/good/085.png,المنتج مطابق للوصف وبحالة ممتاززة ❤️,False,Other,good,Low,,train,v1.0.0,1263648400
good_086_23b09960,data/raw/mvtec/bottle/bottle/train/good/086.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,1104639033
good_087_4450500a,data/raw/mvtec/bottle/bottle/train/good/087.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,1053007689
good_088_b4444993,data/raw/mvtec/bottle/bottle/train/good/088.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,3083725800
good_089_a08c95b5,data/raw/mvtec/bottle/bottle/train/good/089.png,Bottle is intact and quality is good,False,Other,good,Low,,train,v1.0.0,2083001903
good_090_8548fb5e,data/raw/mvtec/bottle/bottle/train/good/090.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,3976488711
good_091_c363c846,data/raw/mvtec/bottle/bottle/train/good/091.png,Everything is fine no issues,False,Other,good,Low,,train,v1.0.0,2676773615
good_092_c4262219,data/raw/mvtec/bottle/bottle/train/good/092.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,1278831586
good_093_2da22e4c,data/raw/mvtec/bottle/bottle/train/good/093.png,Bottle is intact and qualty is gggood,False,Other,good,Low,,train,v1.0.0,3062780492
good_094_1b0c158d,data/raw/mvtec/bottle/bottle/train/good/094.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,2965990979
good_095_21121c5a,data/raw/mvtec/bottle/bottle/train/good/095.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,2973972797
good_096_327123db,data/raw/mvtec/bottle/bottle/train/good/096.png,"Everything is fine, no issuessss 👍",False,Other,good,Low,,train,v1.0.0,2721551172
good_097_b7bc136f,data/raw/mvtec/bottle/bottle/train/good/097.png,الزجاجة سليمه وجودتها جيدة ✨😊,False,Other,good,Low,,train,v1.0.0,3341085644
good_098_c068d804,data/raw/mvtec/bottle/bottle/train/good/098.png,BBottle is intact and quality is good,False,Other,good,Low,,train,v1.0.0,2310669683
good_099_bf346981,data/raw/mvtec/bottle/bottle/train/good/099.png,"Everything is fiine, no issues",False,Other,good,Low,,train,v1.0.0,2962875063
good_100_1a3efe1d,data/raw/mvtec/bottle/bottle/train/good/100.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,3948838818
good_101_a9ef20a1,data/raw/mvtec/bottle/bottle/train/good/101.png,"Product arrived in excellent condition, thank you",False,Other,good,Low,,train,v1.0.0,3705586184
good_102_b420e5ac,data/raw/mvtec/bottle/bottle/train/good/102.png,Everythinnng is fine no issues 👌,False,Other,good,Low,,train,v1.0.0,650804186
good_103_75a0197f,data/raw/mvtec/bottle/bottle/train/good/103.png,الزجاجة سليمةةةة وجودتها جيدة ✨,False,Other,good,Low,,train,v1.0.0,565786838
good_104_3d949922,data/raw/mvtec/bottle/bottle/train/good/104.png,Product matchhhes description and is in perfect ccccondition,False,Other,good,Low,,train,v1.0.0,30849711
good_105_e27958b9,data/raw/mvtec/bottle/bottle/train/good/105.png,"Product arrived in excellent conditttion, thaaank you",False,Other,good,Low,,train,v1.0.0,541800509
good_106_1d923b54,data/raw/mvtec/bottle/bottle/train/good/106.png,Bottle is intact anddd quality is good,False,Other,good,Low,,train,v1.0.0,2292160100
good_107_5f018203,data/raw/mvtec/bottle/bottle/train/good/107.png,"Everything is fine, no issues",False,Other,good,Low,,train,v1.0.0,2967498834
good_108_d3d6aede,data/raw/mvtec/bottle/bottle/train/good/108.png,المنتج وصل بحاالة ممتازه، شكراً 💯,False,Other,good,Low,,train,v1.0.0,1847375257
good_109_482f3ba5,data/raw/mvtec/bottle/bottle/train/good/109.png,المنتج وصل بحالللة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,4022277683
good_110_081fe46c,data/raw/mvtec/bottle/bottle/train/good/110.png,المنتج مطابق للوصف وبحاله ممتازة,False,Other,good,Low,,train,v1.0.0,3411180986
good_111_484aa567,data/raw/mvtec/bottle/bottle/train/good/111.png,المنتج مطابق للوصف وبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,82561882
good_112_365b241c,data/raw/mvtec/bottle/bottle/train/good/112.png,المنتج وصل بحالة ممتازة شكراً ❤️,False,Other,good,Low,,train,v1.0.0,3341809077
good_113_033ce3ff,data/raw/mvtec/bottle/bottle/train/good/113.png,الزجاجة سليمة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,1968708704
good_114_d226f6ca,data/raw/mvtec/bottle/bottle/train/good/114.png,prduct matches description and is in perfect ccccondition,False,Other,good,Low,,train,v1.0.0,1006587685
good_115_6a0d9cac,data/raw/mvtec/bottle/bottle/train/good/115.png,الزجاجة سليمة وجودتها جيدة 💯,False,Other,good,Low,,train,v1.0.0,3530097928
good_116_8163adb7,data/raw/mvtec/bottle/bottle/train/good/116.png,الزجاجة سليمه وجودتهها جيدة 😊,False,Other,good,Low,,train,v1.0.0,1422974680
good_117_b45a9ad2,data/raw/mvtec/bottle/bottle/train/good/117.png,المنتج مطابق للوصف ووووبحالة ممتازة,False,Other,good,Low,,train,v1.0.0,3582195562
good_118_22bea076,data/raw/mvtec/bottle/bottle/train/good/118.png,الزجاجة سليمه وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,803860098
good_119_127e408a,data/raw/mvtec/bottle/bottle/train/good/119.png,"Everything is fine, no issues 💯💯",False,Other,good,Low,,train,v1.0.0,944569008
good_120_1af40dde,data/raw/mvtec/bottle/bottle/train/good/120.png,"Product arrived in excellent condition, thank you",False,Other,good,Low,,train,v1.0.0,3659960983
good_121_4126e4a9,data/raw/mvtec/bottle/bottle/train/good/121.png,الزجاجة سليمة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,858040521
good_122_b0ce466d,data/raw/mvtec/bottle/bottle/train/good/122.png,الزجاجة سليمة وجودتها جيدة ❤️,False,Other,good,Low,,train,v1.0.0,3613553038
good_123_8f7b2701,data/raw/mvtec/bottle/bottle/train/good/123.png,الزجاجة سليمة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,3480546770
good_124_28c9623b,data/raw/mvtec/bottle/bottle/train/good/124.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,3144125076
good_125_c1662c0c,data/raw/mvtec/bottle/bottle/train/good/125.png,المنتج وصل بحالة ممتازة، شكراً,False,Other,good,Low,,train,v1.0.0,3262175101
good_126_b9413f40,data/raw/mvtec/bottle/bottle/train/good/126.png,Product matches description and is in perfect condition,False,Other,good,Low,,train,v1.0.0,2019182118
good_127_b5556584,data/raw/mvtec/bottle/bottle/train/good/127.png,"Product arrived in eeexcellent condition, thank you",False,Other,good,Low,,train,v1.0.0,1019727649
good_128_31227c12,data/raw/mvtec/bottle/bottle/train/good/128.png,"Product arrived in excellent condition, thank you",False,Other,good,Low,,train,v1.0.0,380453246
good_129_0462fa02,data/raw/mvtec/bottle/bottle/train/good/129.png,Produuuct matches description and is in perfect condition,False,Other,good,Low,,train,v1.0.0,191052977
good_130_80ce8178,data/raw/mvtec/bottle/bottle/train/good/130.png,الزجاجة سليمة وجودتها جيدةة 💯👍,False,Other,good,Low,,train,v1.0.0,2220297789
good_131_f0637929,data/raw/mvtec/bottle/bottle/train/good/131.png,Bottle is intact and qualllity is good,False,Other,good,Low,,train,v1.0.0,1639824767
good_132_5e4a7ae6,data/raw/mvtec/bottle/bottle/train/good/132.png,"prduuuuct arrivved in excellent condition, thank you",False,Other,good,Low,,train,v1.0.0,2812779794
good_133_46589e54,data/raw/mvtec/bottle/bottle/train/good/133.png,كل شيء تمام، لا يوجد مشاكككل,False,Other,good,Low,,train,v1.0.0,1609852941
good_134_e58e56dd,data/raw/mvtec/bottle/bottle/train/good/134.png,كل شيء تممام لا يوجد مشاكل,False,Other,good,Low,,train,v1.0.0,1262023577
good_135_490e6405,data/raw/mvtec/bottle/bottle/train/good/135.png,الزجااجة سليمة وجودتها جيدة,False,Other,good,Low,,train,v1.0.0,1663036160
