sample_id,image_path,split_source,defect_type,is_defective,mask_path
good_000_145532cf,data/raw/mvtec/bottle/bottle/train/good/000.png,train,good,False,
good_001_d52520ee,data/raw/mvtec/bottle/bottle/train/good/001.png,train,good,False,
good_002_c6761b6f,data/raw/mvtec/bottle/bottle/train/good/002.png,train,good,False,
good_003_35101dab,data/raw/mvtec/bottle/bottle/train/good/003.png,train,good,False,
good_004_763336a0,data/raw/mvtec/bottle/bottle/train/good/004.png,train,good,False,
good_005_bf598f21,data/raw/mvtec/bottle/bottle/train/good/005.png,train,good,False,
good_006_74f9e27f,data/raw/mvtec/bottle/bottle/train/good/006.png,train,good,False,
good_007_0ebf93c0,data/raw/mvtec/bottle/bottle/train/good/007.png,train,good,False,
good_008_2c7b2684,data/raw/mvtec/bottle/bottle/train/good/008.png,train,good,False,
good_009_59a488d9,data/raw/mvtec/bottle/bottle/train/good/009.png,train,good,False,
good_010_c92893e8,data/raw/mvtec/bottle/bottle/train/good/010.png,train,good,False,
good_011_26836193,data/raw/mvtec/bottle/bottle/train/good/011.png,train,good,False,
good_012_df4e12aa,data/raw/mvtec/bottle/bottle/train/good/012.png,train,good,False,
good_013_3a2733fc,data/raw/mvtec/bottle/bottle/train/good/013.png,train,good,False,
good_014_ff98a88b,data/raw/mvtec/bottle/bottle/train/good/014.png,train,good,False,
good_015_c2332021,data/raw/mvtec/bottle/bottle/train/good/015.png,train,good,False,
good_016_4e7d7bb5,data/raw/mvtec/bottle/bottle/train/good/016.png,train,good,False,
good_017_39d76978,data/raw/mvtec/bottle/bottle/train/good/017.png,train,good,False,
good_018_8c031bd4,data/raw/mvtec/bottle/bottle/train/good/018.png,train,good,False,
good_019_70193423,data/raw/mvtec/bottle/bottle/train/good/019.png,train,good,False,
good_020_a651de5c,data/raw/mvtec/bottle/bottle/train/good/020.png,train,good,False,
good_021_07702ff3,data/raw/mvtec/bottle/bottle/train/good/021.png,train,good,False,
good_022_e8bd2380,data/raw/mvtec/bottle/bottle/train/good/022.png,train,good,False,
good_023_83cd8e82,data/raw/mvtec/bottle/bottle/train/good/023.png,train,good,False,
good_024_737ff91e,data/raw/mvtec/bottle/bottle/train/good/024.png,train,good,False,
good_025_9eabffaa,data/raw/mvtec/bottle/bottle/train/good/025.png,train,good,False,
good_026_4da4ad52,data/raw/mvtec/bottle/bottle/train/good/026.png,train,good,False,
good_027_d39d416d,data/raw/mvtec/bottle/bottle/train/good/027.png,train,good,False,
good_028_61da6ee5,data/raw/mvtec/bottle/bottle/train/good/028.png,train,good,False,
good_029_c5dbb17e,data/raw/mvtec/bottle/bottle/train/good/029.png,train,good,False,
good_030_9f32eea5,data/raw/mvtec/bottle/bottle/train/good/030.png,train,good,False,
good_031_6c50188e,data/raw/mvtec/bottle/bottle/train/good/031.png,train,good,False,
good_032_736cc5df,data/raw/mvtec/bottle/bottle/train/good/032.png,train,good,False,
good_033_91e180a6,data/raw/mvtec/bottle/bottle/train/good/033.png,train,good,False,
